R,normal_em,knockout_em,em_collapse,mean_delta_knockout_minus_normal,negative_control_normal_em,negative_control_knockout_em,mcnemar_b_normal_only,mcnemar_c_knockout_only,mcnemar_exact_p,freeze_eligible
1,0.00022222222222222223,0.00022222222222222223,0.0,-0.0021243812772962782,0,0,0,0,1.0,true
2,0.00022222222222222223,0.00022222222222222223,0.0,0.00012204689449734158,0,0,0,0,1.0,true
4,0.0008888888888888889,0.0011111111111111111,-0.00022222222222222218,-2.443408966064453e-05,0,0,0,1,1.0,true
8,0.0064444444444444445,0.0071111111111111115,-0.000666666666666667,-0.0004969735675387912,0,0,1,4,0.375,true
16,0.04066666666666666,0.041777777777777775,-0.0011111111111111113,-0.000728673497835795,0,0,7,12,0.359283447265625,true
32,0.15422222222222223,0.1537777777777778,0.00044444444444444176,5.709759891033173e-05,0,0,19,17,0.8679394004284404,false
