run,arm,seed,world_size,step,tokens_seen,step_time_s,tokens_per_s,mfu,loss,aux_loss,router_entropy,lr,grad_norm
calib_A_seed1337,A,1337,80,1,4259840,42.77143931388855,99595.43256746947,0.003586764182545011,12.041327476501465,2.180591106414795,4.3124918937683105,0.000375,4.71875
calib_A_seed1337,A,1337,80,2,8519680,23.73959755897522,179440.27860697597,0.0064622437758618595,10.953563690185547,2.4485723972320557,4.318721771240234,0.00075,11.1875
calib_A_seed1337,A,1337,80,3,12779520,15.782219409942627,269913.8751876905,0.009720500176946324,9.968954086303711,2.6432013511657715,4.313617706298828,0.0011250000000000001,4.125
calib_A_seed1337,A,1337,80,4,17039360,12.803057193756104,332720.5319427513,0.011982377665372745,9.726725578308105,2.5642240047454834,4.305107116699219,0.0015,3.0
calib_A_seed1337,A,1337,80,5,21299200,11.35681414604187,375091.1078777017,0.013508283625511344,8.806268692016602,2.5132598876953125,4.2475385665893555,0.0015,2.5625
calib_A_seed1337,A,1337,80,6,25559040,11.06290578842163,385056.15807180805,0.013867158366973718,8.369257926940918,2.4555065631866455,4.18549108505249,0.0014999132934149534,2.109375
calib_A_seed1337,A,1337,80,7,29818880,10.358406066894531,411244.7390544429,0.014810296639871535,8.15407943725586,2.5418224334716797,4.108240604400635,0.0014996531959354643,1.8828125
calib_A_seed1337,A,1337,80,8,34078720,10.306957244873047,413297.5328018322,0.01488422459919136,8.135575294494629,2.755265474319458,4.0159687995910645,0.0014992197743827595,1.7578125
calib_A_seed1337,A,1337,80,9,38338560,10.32228970527649,412683.6314061675,0.014862115959459382,8.259291648864746,3.0054142475128174,3.9211344718933105,0.0014986131401064772,7.125
calib_A_seed1337,A,1337,80,10,42598400,10.775931596755981,395310.60138525703,0.014236455121257112,8.19000244140625,3.112776517868042,3.8189399242401123,0.0014978334489560582,3.0625
calib_A_seed1337,A,1337,80,11,46858240,10.959941625595093,388673.6029735654,0.01399743464040788,7.987752437591553,3.4256536960601807,3.732041597366333,0.0014968809012407087,2.5
calib_A_seed1337,A,1337,80,12,51118080,10.527694463729858,404631.8037321517,0.014572142751244034,7.9434404373168945,4.0156378746032715,3.6174447536468506,0.001495755741677939,1.015625
