seed,source,num_batches,seq_len,batch_size,hash_a,hash_b,match
1337,synthetic,100,128,4,470d2e582da346ffaedddd4f3c86edfcf9ad4229e7c039a01ba7ed1302a8c57e,470d2e582da346ffaedddd4f3c86edfcf9ad4229e7c039a01ba7ed1302a8c57e,true
1337,fineweb_edu_deepseek_smoke,100,128,2,f58d12d5bacb8af88f6553e697a26fdf38dab3ae7e7d4a8718aa8409c0b1b2e5,f58d12d5bacb8af88f6553e697a26fdf38dab3ae7e7d4a8718aa8409c0b1b2e5,true
1337,fineweb_edu_deepseek_shards,100,2048,1,7e7cd048e1cd6ac3993cd85611694ece1d13bde9758bd99c2da7fc6f8b6a62c8,7e7cd048e1cd6ac3993cd85611694ece1d13bde9758bd99c2da7fc6f8b6a62c8,true
