seed,metric,a_nll,b_nll,a_minus_b,tokens
1337,global_nll,2.9724469110369682,2.975272014737129,-0.0028251037001609802,32768
1337,repeat_ngram_nll,1.0834648131215134,1.107235637475696,-0.02377082435418254,6879
1337,entity_proxy_nll,4.471434750302485,4.45558679850638,0.015847951796104986,3448
2024,global_nll,2.7372745275497437,2.747317135334015,-0.01004260778427124,32768
2024,repeat_ngram_nll,1.0668150529275253,1.0691550154600882,-0.002339962532562856,6052
2024,entity_proxy_nll,4.245794314964145,4.293011908437691,-0.04721759347354659,3264
