checkpoint,layer,alpha_mean,alpha_std,mem_rms,contribution_rms,contribution_hidden_rms_ratio,final_hidden_delta_rms,last_logit_abs_delta_mean,tokens
b0959,2,1.0,0.0,0.007791930739926268,0.007791930739926268,0.001103282532423438,0.04130070280680797,0.05060341739654541,8192
b0959,6,0.9990513473749161,0.02386360838628199,0.04965964965063809,0.04954608978854088,0.003902891952160382,0.04130070280680797,0.05060341739654541,8192
b5027,2,1.0,0.0,0.007448855919158199,0.007448855919158199,0.0013034613830331106,0.07959893707096306,0.11967396545410157,8192
b5027,6,0.9994477778673172,0.0030457342897599097,0.05916600919090127,0.05893969217053411,0.008296970935311437,0.07959893707096306,0.11967396545410157,8192
h4v3_b0952,2,0.9999844580888748,0.0005176672198312684,0.007901033907542111,0.007898373938789593,0.001073799058297835,0.03626682457302049,0.03675585460662842,8192
h4v3_b0952,6,0.9969046264886856,0.04370662844328754,0.04332693052433751,0.04245581514401721,0.003409054719558926,0.03626682457302049,0.03675585460662842,8192
